Period,ISIN,Weights
39.0,US78464A4094,0.44999999999999996
39.0,US78462F1030,0.15000000000000002
39.0,US4642876480,0.07500000000000001
39.0,US4642876142,0.07500000000000001
39.0,US4642874576,0.25
40.0,US78464A4094,0.44999999999999996
40.0,US78462F1030,0.15000000000000002
40.0,US4642876480,0.07500000000000001
40.0,US4642876142,0.07500000000000001
40.0,US4642874576,0.25
41.0,US78464A4094,0.44999999999999996
41.0,US78462F1030,0.15000000000000002
41.0,US4642876480,0.07500000000000001
41.0,US4642876142,0.07500000000000001
41.0,US4642874576,0.25
42.0,US78464A4094,0.6
42.0,US78462F1030,0.15000000000000002
42.0,US4642876480,0.1
42.0,US4642876142,0.1
42.0,US4642874576,0.05
43.0,US78464A4094,0.44999999999999996
43.0,US78462F1030,0.15000000000000002
43.0,US4642876480,0.07500000000000001
43.0,US4642876142,0.07500000000000001
43.0,US4642874576,0.25
44.0,US78464A4094,0.44999999999999996
44.0,US78462F1030,0.15000000000000002
44.0,US4642876480,0.07500000000000001
44.0,US4642876142,0.07500000000000001
44.0,US4642874576,0.25
45.0,US78464A4094,0.44999999999999996
45.0,US78462F1030,0.1
45.0,US4642876480,0.1
45.0,US4642876142,0.07500000000000001
45.0,US4642874576,0.275
46.0,US78464A4094,0.3
46.0,US78462F1030,0.1
46.0,US4642876480,0.07500000000000001
46.0,US4642876142,0.05
46.0,US4642874576,0.47500000000000003
47.0,US78464A4094,0.3
47.0,US78462F1030,0.1
47.0,US4642876480,0.05
47.0,US4642876142,0.05
47.0,US4642874576,0.5
48.0,US78464A4094,0.3
48.0,US78462F1030,0.1
48.0,US4642876480,0.05
48.0,US4642876142,0.05
48.0,US4642874576,0.5
49.0,US78464A4094,0.3
49.0,US78462F1030,0.1
49.0,US4642876480,0.05
49.0,US4642876142,0.05
49.0,US4642874576,0.5
50.0,US78464A4094,0.3
50.0,US78462F1030,0.1
50.0,US4642876480,0.05
50.0,US4642876142,0.05
50.0,US4642874576,0.5
51.0,US78464A4094,0.3
51.0,US78462F1030,0.1
51.0,US4642876480,0.05
51.0,US4642876142,0.05
51.0,US4642874576,0.5
52.0,US78464A4094,0.3
52.0,US78462F1030,0.1
52.0,US4642876480,0.05
52.0,US4642876142,0.05
52.0,US4642874576,0.5
53.0,US78464A4094,0.3
53.0,US78462F1030,0.1
53.0,US4642876480,0.05
53.0,US4642876142,0.05
53.0,US4642874576,0.5
54.0,US78464A4094,0.44999999999999996
54.0,US78462F1030,0.1
54.0,US4642876480,0.07500000000000001
54.0,US4642876142,0.07500000000000001
54.0,US4642874576,0.30000000000000004
55.0,US78464A4094,0.44999999999999996
55.0,US78462F1030,0.15000000000000002
55.0,US4642876480,0.07500000000000001
55.0,US4642876142,0.07500000000000001
55.0,US4642874576,0.25
56.0,US78464A4094,0.44999999999999996
56.0,US78462F1030,0.15000000000000002
56.0,US4642876480,0.07500000000000001
56.0,US4642876142,0.07500000000000001
56.0,US4642874576,0.25
57.0,US78464A4094,0.44999999999999996
57.0,US78462F1030,0.15000000000000002
57.0,US4642876480,0.07500000000000001
57.0,US4642876142,0.07500000000000001
57.0,US4642874576,0.25
58.0,US78464A4094,0.44999999999999996
58.0,US78462F1030,0.15000000000000002
58.0,US4642876480,0.07500000000000001
58.0,US4642876142,0.07500000000000001
58.0,US4642874576,0.25
59.0,US78464A4094,0.44999999999999996
59.0,US78462F1030,0.15000000000000002
59.0,US4642876480,0.07500000000000001
59.0,US4642876142,0.07500000000000001
59.0,US4642874576,0.25
60.0,US78464A4094,0.44999999999999996
60.0,US78462F1030,0.15000000000000002
60.0,US4642876480,0.07500000000000001
60.0,US4642876142,0.07500000000000001
60.0,US4642874576,0.25
61.0,US78464A4094,0.44999999999999996
61.0,US78462F1030,0.15000000000000002
61.0,US4642876480,0.07500000000000001
61.0,US4642876142,0.07500000000000001
61.0,US4642874576,0.25
62.0,US78464A4094,0.44999999999999996
62.0,US78462F1030,0.15000000000000002
62.0,US4642876480,0.07500000000000001
62.0,US4642876142,0.07500000000000001
62.0,US4642874576,0.25
63.0,US78464A4094,0.44999999999999996
63.0,US78462F1030,0.15000000000000002
63.0,US4642876480,0.07500000000000001
63.0,US4642876142,0.07500000000000001
63.0,US4642874576,0.25
64.0,US78464A4094,0.44999999999999996
64.0,US78462F1030,0.15000000000000002
64.0,US4642876480,0.07500000000000001
64.0,US4642876142,0.07500000000000001
64.0,US4642874576,0.25
65.0,US78464A4094,0.6
65.0,US78462F1030,0.15000000000000002
65.0,US4642876480,0.1
65.0,US4642876142,0.1
65.0,US4642874576,0.05
66.0,US78464A4094,0.44999999999999996
66.0,US78462F1030,0.1
66.0,US4642876480,0.1
66.0,US4642876142,0.07500000000000001
66.0,US4642874576,0.275
67.0,US78464A4094,0.44999999999999996
67.0,US78462F1030,0.1
67.0,US4642876480,0.07500000000000001
67.0,US4642876142,0.07500000000000001
67.0,US4642874576,0.30000000000000004
68.0,US78464A4094,0.44999999999999996
68.0,US78462F1030,0.1
68.0,US4642876480,0.1
68.0,US4642876142,0.07500000000000001
68.0,US4642874576,0.275
69.0,US78464A4094,0.44999999999999996
69.0,US78462F1030,0.1
69.0,US4642876480,0.07500000000000001
69.0,US4642876142,0.07500000000000001
69.0,US4642874576,0.30000000000000004
70.0,US78464A4094,0.6
70.0,US78462F1030,0.15000000000000002
70.0,US4642876480,0.1
70.0,US4642876142,0.1
70.0,US4642874576,0.05
71.0,US78464A4094,0.6
71.0,US78462F1030,0.15000000000000002
71.0,US4642876480,0.1
71.0,US4642876142,0.1
71.0,US4642874576,0.05
72.0,US78464A4094,0.6
72.0,US78462F1030,0.2
72.0,US4642876480,0.1
72.0,US4642876142,0.1
72.0,US4642874576,0.0
73.0,US78464A4094,0.6
73.0,US78462F1030,0.2
73.0,US4642876480,0.1
73.0,US4642876142,0.1
73.0,US4642874576,0.0
74.0,US78464A4094,0.6
74.0,US78462F1030,0.2
74.0,US4642876480,0.1
74.0,US4642876142,0.1
74.0,US4642874576,0.0
75.0,US78464A4094,0.6
75.0,US78462F1030,0.2
75.0,US4642876480,0.1
75.0,US4642876142,0.1
75.0,US4642874576,0.0
76.0,US78464A4094,0.6
76.0,US78462F1030,0.2
76.0,US4642876480,0.1
76.0,US4642876142,0.1
76.0,US4642874576,0.0
77.0,US78464A4094,0.6
77.0,US78462F1030,0.2
77.0,US4642876480,0.1
77.0,US4642876142,0.1
77.0,US4642874576,0.0
78.0,US78464A4094,0.6
78.0,US78462F1030,0.2
78.0,US4642876480,0.1
78.0,US4642876142,0.1
78.0,US4642874576,0.0
79.0,US78464A4094,0.6
79.0,US78462F1030,0.2
79.0,US4642876480,0.1
79.0,US4642876142,0.1
79.0,US4642874576,0.0
80.0,US78464A4094,0.6
80.0,US78462F1030,0.2
80.0,US4642876480,0.1
80.0,US4642876142,0.1
80.0,US4642874576,0.0
81.0,US78464A4094,0.44999999999999996
81.0,US78462F1030,0.15000000000000002
81.0,US4642876480,0.07500000000000001
81.0,US4642876142,0.07500000000000001
81.0,US4642874576,0.25
82.0,US78464A4094,0.44999999999999996
82.0,US78462F1030,0.15000000000000002
82.0,US4642876480,0.07500000000000001
82.0,US4642876142,0.07500000000000001
82.0,US4642874576,0.25
83.0,US78464A4094,0.6
83.0,US78462F1030,0.15000000000000002
83.0,US4642876480,0.07500000000000001
83.0,US4642876142,0.07500000000000001
83.0,US4642874576,0.1
84.0,US78464A4094,0.6
84.0,US78462F1030,0.15000000000000002
84.0,US4642876480,0.07500000000000001
84.0,US4642876142,0.07500000000000001
84.0,US4642874576,0.1
85.0,US78464A4094,0.6
85.0,US78462F1030,0.15000000000000002
85.0,US4642876480,0.07500000000000001
85.0,US4642876142,0.07500000000000001
85.0,US4642874576,0.1
86.0,US78464A4094,0.6
86.0,US78462F1030,0.2
86.0,US4642876480,0.1
86.0,US4642876142,0.1
86.0,US4642874576,0.0
87.0,US78464A4094,0.6
87.0,US78462F1030,0.2
87.0,US4642876480,0.1
87.0,US4642876142,0.1
87.0,US4642874576,0.0
88.0,US78464A4094,0.6
88.0,US78462F1030,0.2
88.0,US4642876480,0.1
88.0,US4642876142,0.1
88.0,US4642874576,0.0
89.0,US78464A4094,0.6
89.0,US78462F1030,0.2
89.0,US4642876480,0.1
89.0,US4642876142,0.1
89.0,US4642874576,0.0
90.0,US78464A4094,0.6
90.0,US78462F1030,0.2
90.0,US4642876480,0.1
90.0,US4642876142,0.1
90.0,US4642874576,0.0
91.0,US78464A4094,0.6
91.0,US78462F1030,0.2
91.0,US4642876480,0.1
91.0,US4642876142,0.1
91.0,US4642874576,0.0
92.0,US78464A4094,0.6
92.0,US78462F1030,0.2
92.0,US4642876480,0.1
92.0,US4642876142,0.1
92.0,US4642874576,0.0
93.0,US78464A4094,0.6
93.0,US78462F1030,0.2
93.0,US4642876480,0.1
93.0,US4642876142,0.1
93.0,US4642874576,0.0
94.0,US78464A4094,0.6
94.0,US78462F1030,0.2
94.0,US4642876480,0.1
94.0,US4642876142,0.1
94.0,US4642874576,0.0
95.0,US78464A4094,0.6
95.0,US78462F1030,0.2
95.0,US4642876480,0.1
95.0,US4642876142,0.1
95.0,US4642874576,0.0
96.0,US78464A4094,0.6
96.0,US78462F1030,0.2
96.0,US4642876480,0.1
96.0,US4642876142,0.1
96.0,US4642874576,0.0
97.0,US78464A4094,0.6
97.0,US78462F1030,0.2
97.0,US4642876480,0.1
97.0,US4642876142,0.1
97.0,US4642874576,0.0
98.0,US78464A4094,0.6
98.0,US78462F1030,0.2
98.0,US4642876480,0.1
98.0,US4642876142,0.1
98.0,US4642874576,0.0
99.0,US78464A4094,0.6
99.0,US78462F1030,0.2
99.0,US4642876480,0.1
99.0,US4642876142,0.1
99.0,US4642874576,0.0
100.0,US78464A4094,0.6
100.0,US78462F1030,0.2
100.0,US4642876480,0.1
100.0,US4642876142,0.1
100.0,US4642874576,0.0
101.0,US78464A4094,0.6
101.0,US78462F1030,0.2
101.0,US4642876480,0.1
101.0,US4642876142,0.1
101.0,US4642874576,0.0
102.0,US78464A4094,0.6
102.0,US78462F1030,0.2
102.0,US4642876480,0.1
102.0,US4642876142,0.1
102.0,US4642874576,0.0
103.0,US78464A4094,0.6
103.0,US78462F1030,0.2
103.0,US4642876480,0.1
103.0,US4642876142,0.1
103.0,US4642874576,0.0
104.0,US78464A4094,0.6
104.0,US78462F1030,0.2
104.0,US4642876480,0.1
104.0,US4642876142,0.1
104.0,US4642874576,0.0
105.0,US78464A4094,0.6
105.0,US78462F1030,0.2
105.0,US4642876480,0.1
105.0,US4642876142,0.1
105.0,US4642874576,0.0
106.0,US78464A4094,0.6
106.0,US78462F1030,0.2
106.0,US4642876480,0.1
106.0,US4642876142,0.1
106.0,US4642874576,0.0
107.0,US78464A4094,0.6
107.0,US78462F1030,0.2
107.0,US4642876480,0.1
107.0,US4642876142,0.1
107.0,US4642874576,0.0
108.0,US78464A4094,0.6
108.0,US78462F1030,0.2
108.0,US4642876480,0.1
108.0,US4642876142,0.1
108.0,US4642874576,0.0
109.0,US78464A4094,0.6
109.0,US78462F1030,0.2
109.0,US4642876480,0.1
109.0,US4642876142,0.1
109.0,US4642874576,0.0
110.0,US78464A4094,0.6
110.0,US78462F1030,0.2
110.0,US4642876480,0.1
110.0,US4642876142,0.1
110.0,US4642874576,0.0
111.0,US78464A4094,0.6
111.0,US78462F1030,0.2
111.0,US4642876480,0.1
111.0,US4642876142,0.1
111.0,US4642874576,0.0
112.0,US78464A4094,0.6
112.0,US78462F1030,0.2
112.0,US4642876480,0.1
112.0,US4642876142,0.1
112.0,US4642874576,0.0
113.0,US78464A4094,0.6
113.0,US78462F1030,0.2
113.0,US4642876480,0.07500000000000001
113.0,US4642876142,0.1
113.0,US4642874576,0.025
114.0,US78464A4094,0.6
114.0,US78462F1030,0.2
114.0,US4642876480,0.07500000000000001
114.0,US4642876142,0.1
114.0,US4642874576,0.025
115.0,US78464A4094,0.6
115.0,US78462F1030,0.2
115.0,US4642876480,0.1
115.0,US4642876142,0.1
115.0,US4642874576,0.0
116.0,US78464A4094,0.6
116.0,US78462F1030,0.2
116.0,US4642876480,0.07500000000000001
116.0,US4642876142,0.1
116.0,US4642874576,0.025
117.0,US78464A4094,0.6
117.0,US78462F1030,0.2
117.0,US4642876480,0.1
117.0,US4642876142,0.1
117.0,US4642874576,0.0
118.0,US78464A4094,0.6
118.0,US78462F1030,0.2
118.0,US4642876480,0.07500000000000001
118.0,US4642876142,0.1
118.0,US4642874576,0.025
119.0,US78464A4094,0.6
119.0,US78462F1030,0.2
119.0,US4642876480,0.1
119.0,US4642876142,0.1
119.0,US4642874576,0.0
120.0,US78464A4094,0.6
120.0,US78462F1030,0.2
120.0,US4642876480,0.1
120.0,US4642876142,0.1
120.0,US4642874576,0.0
121.0,US78464A4094,0.6
121.0,US78462F1030,0.2
121.0,US4642876480,0.1
121.0,US4642876142,0.1
121.0,US4642874576,0.0
122.0,US78464A4094,0.6
122.0,US78462F1030,0.2
122.0,US4642876480,0.1
122.0,US4642876142,0.1
122.0,US4642874576,0.0
123.0,US78464A4094,0.6
123.0,US78462F1030,0.2
123.0,US4642876480,0.1
123.0,US4642876142,0.1
123.0,US4642874576,0.0
124.0,US78464A4094,0.6
124.0,US78462F1030,0.2
124.0,US4642876480,0.1
124.0,US4642876142,0.1
124.0,US4642874576,0.0
125.0,US78464A4094,0.6
125.0,US78462F1030,0.2
125.0,US4642876480,0.1
125.0,US4642876142,0.1
125.0,US4642874576,0.0
126.0,US78464A4094,0.6
126.0,US78462F1030,0.2
126.0,US4642876480,0.1
126.0,US4642876142,0.1
126.0,US4642874576,0.0
127.0,US78464A4094,0.6
127.0,US78462F1030,0.2
127.0,US4642876480,0.1
127.0,US4642876142,0.1
127.0,US4642874576,0.0
128.0,US78464A4094,0.6
128.0,US78462F1030,0.2
128.0,US4642876480,0.1
128.0,US4642876142,0.1
128.0,US4642874576,0.0
129.0,US78464A4094,0.44999999999999996
129.0,US78462F1030,0.15000000000000002
129.0,US4642876480,0.07500000000000001
129.0,US4642876142,0.07500000000000001
129.0,US4642874576,0.25
130.0,US78464A4094,0.44999999999999996
130.0,US78462F1030,0.15000000000000002
130.0,US4642876480,0.07500000000000001
130.0,US4642876142,0.07500000000000001
130.0,US4642874576,0.25
131.0,US78464A4094,0.6
131.0,US78462F1030,0.2
131.0,US4642876480,0.07500000000000001
131.0,US4642876142,0.1
131.0,US4642874576,0.025
132.0,US78464A4094,0.6
132.0,US78462F1030,0.2
132.0,US4642876480,0.07500000000000001
132.0,US4642876142,0.1
132.0,US4642874576,0.025
133.0,US78464A4094,0.6
133.0,US78462F1030,0.15000000000000002
133.0,US4642876480,0.07500000000000001
133.0,US4642876142,0.07500000000000001
133.0,US4642874576,0.1
134.0,US78464A4094,0.44999999999999996
134.0,US78462F1030,0.15000000000000002
134.0,US4642876480,0.07500000000000001
134.0,US4642876142,0.07500000000000001
134.0,US4642874576,0.25
135.0,US78464A4094,0.44999999999999996
135.0,US78462F1030,0.15000000000000002
135.0,US4642876480,0.07500000000000001
135.0,US4642876142,0.07500000000000001
135.0,US4642874576,0.25
136.0,US78464A4094,0.6
136.0,US78462F1030,0.2
136.0,US4642876480,0.07500000000000001
136.0,US4642876142,0.1
136.0,US4642874576,0.025
137.0,US78464A4094,0.6
137.0,US78462F1030,0.2
137.0,US4642876480,0.07500000000000001
137.0,US4642876142,0.1
137.0,US4642874576,0.025
138.0,US78464A4094,0.6
138.0,US78462F1030,0.2
138.0,US4642876480,0.1
138.0,US4642876142,0.1
138.0,US4642874576,0.0
139.0,US78464A4094,0.6
139.0,US78462F1030,0.2
139.0,US4642876480,0.1
139.0,US4642876142,0.1
139.0,US4642874576,0.0
140.0,US78464A4094,0.6
140.0,US78462F1030,0.2
140.0,US4642876480,0.1
140.0,US4642876142,0.1
140.0,US4642874576,0.0
141.0,US78464A4094,0.6
141.0,US78462F1030,0.2
141.0,US4642876480,0.1
141.0,US4642876142,0.1
141.0,US4642874576,0.0
142.0,US78464A4094,0.6
142.0,US78462F1030,0.2
142.0,US4642876480,0.1
142.0,US4642876142,0.1
142.0,US4642874576,0.0
143.0,US78464A4094,0.6
143.0,US78462F1030,0.2
143.0,US4642876480,0.1
143.0,US4642876142,0.1
143.0,US4642874576,0.0
144.0,US78464A4094,0.6
144.0,US78462F1030,0.2
144.0,US4642876480,0.1
144.0,US4642876142,0.1
144.0,US4642874576,0.0
145.0,US78464A4094,0.6
145.0,US78462F1030,0.2
145.0,US4642876480,0.1
145.0,US4642876142,0.1
145.0,US4642874576,0.0
146.0,US78464A4094,0.6
146.0,US78462F1030,0.2
146.0,US4642876480,0.1
146.0,US4642876142,0.1
146.0,US4642874576,0.0
147.0,US78464A4094,0.6
147.0,US78462F1030,0.2
147.0,US4642876480,0.1
147.0,US4642876142,0.1
147.0,US4642874576,0.0
148.0,US78464A4094,0.6
148.0,US78462F1030,0.2
148.0,US4642876480,0.1
148.0,US4642876142,0.1
148.0,US4642874576,0.0
149.0,US78464A4094,0.6
149.0,US78462F1030,0.2
149.0,US4642876480,0.1
149.0,US4642876142,0.1
149.0,US4642874576,0.0
150.0,US78464A4094,0.6
150.0,US78462F1030,0.2
150.0,US4642876480,0.1
150.0,US4642876142,0.1
150.0,US4642874576,0.0
151.0,US78464A4094,0.6
151.0,US78462F1030,0.2
151.0,US4642876480,0.1
151.0,US4642876142,0.1
151.0,US4642874576,0.0
152.0,US78464A4094,0.6
152.0,US78462F1030,0.2
152.0,US4642876480,0.1
152.0,US4642876142,0.1
152.0,US4642874576,0.0
153.0,US78464A4094,0.6
153.0,US78462F1030,0.2
153.0,US4642876480,0.1
153.0,US4642876142,0.1
153.0,US4642874576,0.0
154.0,US78464A4094,0.6
154.0,US78462F1030,0.2
154.0,US4642876480,0.1
154.0,US4642876142,0.1
154.0,US4642874576,0.0
155.0,US78464A4094,0.6
155.0,US78462F1030,0.2
155.0,US4642876480,0.1
155.0,US4642876142,0.1
155.0,US4642874576,0.0
156.0,US78464A4094,0.6
156.0,US78462F1030,0.2
156.0,US4642876480,0.1
156.0,US4642876142,0.1
156.0,US4642874576,0.0
157.0,US78464A4094,0.6
157.0,US78462F1030,0.2
157.0,US4642876480,0.1
157.0,US4642876142,0.1
157.0,US4642874576,0.0
158.0,US78464A4094,0.6
158.0,US78462F1030,0.2
158.0,US4642876480,0.1
158.0,US4642876142,0.1
158.0,US4642874576,0.0
159.0,US78464A4094,0.6
159.0,US78462F1030,0.2
159.0,US4642876480,0.1
159.0,US4642876142,0.1
159.0,US4642874576,0.0
160.0,US78464A4094,0.6
160.0,US78462F1030,0.2
160.0,US4642876480,0.1
160.0,US4642876142,0.1
160.0,US4642874576,0.0
161.0,US78464A4094,0.6
161.0,US78462F1030,0.2
161.0,US4642876480,0.1
161.0,US4642876142,0.1
161.0,US4642874576,0.0
162.0,US78464A4094,0.6
162.0,US78462F1030,0.2
162.0,US4642876480,0.1
162.0,US4642876142,0.1
162.0,US4642874576,0.0
163.0,US78464A4094,0.6
163.0,US78462F1030,0.2
163.0,US4642876480,0.1
163.0,US4642876142,0.1
163.0,US4642874576,0.0
