ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification (BDC/CEF),Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap,flag
IL0011407140,,3.7311702139999996,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.4418819099056694,0,0
US29428V1044,,8.51269933,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,1.008157661711306,0,0
US0453961080,,4.473740043,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.5298243396146258,0,0
US50127T1097,,7.276509722,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.8617559181138265,0,0
US4811161011,,3.336156807,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.39510053336364886,0,0
US48283N1063,,2.092117642,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.2477691679477761,0,0
CA05156V1022,,6.521447062000001,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.772333964366622,0,0
US92915B1061,,7.183072331,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.850690142385675,0,0
US00972L1070,,7.407077564,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.8772190473966283,0,0
US7612991064,,6.1320156720000005,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.7262136652323891,0,0
SG9999014716,,4.534835035,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.5370598100440732,0,0
US24344T1016,,5.363039698,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.6351439598655001,0,0
US00448Q2012,,8.151242886,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.9653504310941848,0,0
US5560991094,,4.8511987130000005,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.5745267113756944,0,0
US98419J2069,,4.634884193,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.5489086163128439,0,0
US00653A1079,,2.771389662,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.3282152479515339,0,0
US00972D1054,,5.903346922999999,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.6991324607446592,0,0
US67022C1062,,2.219463858,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.2628507605629288,0,0
US2530311081,,2.069856464,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.2451327800889535,0,0
US7207951036,,2.7091851080000002,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.3208483722664702,0,0
US87164F1057,,2.02326829,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.2396153498658847,0,0
US00739L1017,,4.409257543,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.5221876871379901,0,0
US13089P1012,,7.266347825,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.8605524462277742,0,0
US87184Q1076,,3.313127187,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.3923731390379175,0,0
IE00BYZ5XL97,,1.186770013,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.14054898862440807,0,0
US74366E1029,,1.845119033,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.21851716098239143,0,0
US8162121045,,2.533361176,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.3000255712621726,0,0
US21887L1070,,1.9041692940000001,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.2255104742365555,0,0
US01345P1066,,1.033761126,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.12242816986186293,0,0
US16383L1061,,1.177436379,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.13944360779701906,0,0
US8051111016,,1.634797298,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.1936087905178769,0,0
US03753U1060,,2.938756587,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.3480364869281267,0,0
US58549G2093,,2.498082381,5G Infrastructure & Hardware,,10,,,ph,,,5,,,,0.29584750904049273,0,0
US76243J1051,,7.246113445,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.8581560917418253,0,0
US14888U1016,,3.042221422,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.3602898112943881,0,0
US0396971071,,4.1609360010000005,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.4927790054225435,0,0
US3621LQ1099,,2.678821614,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.3172524283800761,0,0
IL0011327454,,1.722708234,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.20402006903728537,0,0
NL0012661870,,1.755935437,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.20795516153651583,0,0
US98887Q1040,,5.394921049,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.6389196633210521,0,0
US81750R1023,,2.256234199,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.26720546634611625,0,0
US6085501095,,1.115194478,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.13207230911253628,0,0
US59045L1061,,1.056127561,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.12507702329087486,0,0
US68404V1008,,3.8068612269999997,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.4508459848389539,0,0
IE00BYQMW233,,4.510021576000001,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.5341211559421657,0,0
US14757U1097,,1.793175086,Telecommunications Service Providers,,10,,,ph,,,5,,,,0.21236544739337454,0,0
