ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Weight,Cap,Flag1,Flag2
US1729673418,,1659.45,,,,,,,,,,,,,"Citigroup, Inc.",6.109386907588828,2,0.30246538627533326,10.302465386275333
US19626G3065,,252.2,,,,,,,,,,,,,"Colony Capital, Inc.",0.9867296013054491,0,0.0,0.0
US19626G2075,,151.87176000000002,,,,,,,,,,,,,"Colony Capital, Inc.",0.594196515441542,0,0.0,0.0
US21870U3041,,131.716,,,,,,,,,,,,,"CorEnergy Infrastructure Trust, Inc.",0.5153373361044749,0,0.0,0.0
MHY2745C1104,,138.828,,,,,,,,,,,,,Golar LNG Partners LP,0.5431629543617482,0,0.0,0.0
MHY3262R1181,,161.1927,,,,,,,,,,,,,Höegh LNG Partners LP,0.6306645860600669,0,0.0,0.0
US4042806046,,1357.2,,,,,,,,,,,,,HSBC Holdings Plc,5.310029400839634,0,0.0,0.0
US46131B5066,,287.615,,,,,,,,,,,,,"Invesco Mortgage Capital, Inc.",1.1252903817583932,0,0.0,0.0
US4812467003,,927.52,,,,,,,,,,,,,JPMorgan Chase & Co.,3.628911339424386,0,0.0,0.0
US48127R4618,,1486.056,,,,,,,,,,,,,JPMorgan Chase & Co.,5.814177019815903,0,0.0,0.0
US55272X4097,,201.28,,,,,,,,,,,,,"MFA Financial, Inc.",0.7875056865613037,0,0.0,0.0
US61762V5075,,512.0,,,,,,,,,,,,,Morgan Stanley,2.0031941152592783,0,0.0,0.0
US61763E2072,,943.16,,,,,,,,,,,,,Morgan Stanley,3.6901026596639466,0,0.0,0.0
US61762V2007,,969.105,,,,,,,,,,,,,Morgan Stanley & Co. LLC,3.7916121739616075,0,0.0,0.0
US6496048819,,129.735,,,,,,,,,,,,,"New York Mortgage Trust, Inc.",0.5075866963733642,0,0.0,0.0
US62913M2061,,200.8566,,,,,,,,,,,,,NGL Energy Partners LP,0.7858491389277085,0,0.0,0.0
US67058H4092,,169.257,,,,,,,,,,,,,NuStar Energy LP,0.6622160671219525,0,0.0,0.0
US70931T4004,,198.666,,,,,,,,,,,,,PennyMac Mortgage Investment Trust,0.7772784416056636,0,0.0,0.0
US74460W8266,,290.72115,,,,,,,,,,,,,Public Storage,1.1374431579324413,0,0.0,0.0
US7591EP3084,,508.6,,,,,,,,,,,,,Regions Financial Corp.,1.9898916543376348,0,0.0,0.0
US74965L2007,,327.50524260000003,,,,,,,,,,,,,RLJ Lodging Trust,1.2813604974470358,0,0.0,0.0
MHY8564M1131,,127.5,,,,,,,,,,,,,Teekay LNG Partners LP,0.4988422845616367,0,0.0,0.0
MHY8564M2048,,164.53144,,,,,,,,,,,,,Teekay LNG Partners LP,0.6437273679358106,0,0.0,0.0
US0200028795,,761.553,,,,,,,,,,,,,The Allstate Corp.,2.979567359488377,0,0.0,0.0
US90187B5075,,285.796,,,,,,,,,,,,,Two Harbors Investment Corp.,1.1181735651653137,0,0.0,0.0
US90187B3096,,288.88,,,,,,,,,,,,,Two Harbors Investment Corp.,1.1302396797189458,0,0.0,0.0
US90187B2007,,153.295,,,,,,,,,,,,,Two Harbors Investment Corp.,0.5997649255833419,0,0.0,0.0
US9029738336,,1181.4,,,,,,,,,,,,,U.S. Bancorp,4.62221392142053,0,0.0,0.0
US92339V2097,,1084.98522,,,,,,,,,,,,,"VEREIT, Inc.",4.244992202826745,0,0.0,0.0
US9497463664,,817.6,,,,,,,,,,,,,Wells Fargo & Co.,3.19885060280466,0,0.0,0.0
